Date;Filière;Valeur (GW)
T2-2024;"Eolien terrestre ";0,239
T2-2025;"Eolien terrestre ";0,233
T3-2020;"Eolien terrestre ";0,346
T3-2021;"Eolien terrestre ";0,275
T3-2022;"Eolien terrestre ";0,347
T3-2023;"Eolien terrestre ";0,322
T3-2024;"Eolien terrestre ";0,165
T3-2025;"Eolien terrestre ";0,273
T4-2020;"Eolien terrestre ";0,31
T4-2021;"Eolien terrestre ";0,441
T4-2022;"Eolien terrestre ";0,586
T4-2023;"Eolien terrestre ";0,272
T4-2024;"Eolien terrestre ";0,33
